member_id,gender,address,city,state,postal_code,dob,referred by,plan,total,plan_status,member_since,plan_pause_date,is_member
Darin,Not Specified,449 Lane,,,,1974,,Team Training ,99,paused,6/2/2016,8/27/2020,1
Ashely,Not Specified,450 Lane,,,,1974,,Team Training ,129,paused,6/2/2016,2/26/2017,1
Clay,Female,451 Lane,,,98502,1973,,Team Training ,129,paused,5/9/2016,1/12/2021,1
Cassidy,Female,452 Lane,,,,,,Semi Private 6 Month All Inclusive Transformation Coaching ,549,paused,8/6/2016,1/3/2017,1
Roland,Female,453 Lane,,,,1980,,Semi Private Elite 3x Per Week ,399,paused,8/10/2018,4/5/2020,1
Ismael,Female,,Tumwater,WA,98501,1984,Facebook,Team Training 3x Per Week ,109,paused,2/1/2020,6/22/2020,1
Harrison,Female,,Tumwater,WA,98501,1984,Facebook,Team Training ,129,paused,2/1/2020,4/20/2021,1
Lorraine,Female,,,,98501,1995,Existing Member,Semi Private Perfomance 2x Per Week,299,paused,4/6/2021,5/10/2021,1
Owen,Not Specified,,,,,1983,,Semi Private Elite 3x Per Week ,349,paused,6/10/2016,8/1/2020,1
Daniela,Female,,,,98512,1986,Facebook,6 week challenge  deposit 2 half payments ,150,paused,3/28/2019,5/8/2019,1
Rocky,Female,,,,98512,1981,Facebook,Team Training 3x Per Week ,129,paused,4/26/2019,11/19/2020,1
Marisela,Female,,Olympia ,WA,98516,1966,Facebook,Small Group Personal Training Weekly ,45,paused,7/29/2020,12/21/2020,1
Saul,Female,,,,98502,2020,Facebook,6 week challenge bi weekly 3x per week semi ,199.5,paused,2/20/2020,3/21/2020,1
Kory,Female,,,,98512,1982,,Bi Weekly Payment unlimited team ,64.5,paused,5/10/2016,6/19/2016,1
Dexter,Female,,,,98512,1982,,Team training bi weekly ,65,paused,5/10/2016,9/10/2017,1
Chandra,Female,,,,98512,1982,,Team Training 1x per week ,40,paused,5/10/2016,12/12/2017,1
Gwendolyn,Female,465 Lane,,,,,,Team Training ,129,paused,2/27/2017,7/4/2018,1
Francesca,Female,466 Lane,,,98509,1985,Facebook,Team Training ,79,paused,2/24/2019,4/18/2019,1
Alaina,Not Specified,467 Lane,,,,,,Team Training ,104,paused,5/10/2016,8/9/2017,1
Mandi,Female,468 Lane,Olympia,WA,98502,,,Team Training ,129,paused,3/18/2017,11/13/2017,1
